Nome,RG,CPF,Data_Admissao,Data_Alteracao,Coordenada_X,Coordenada_Y
João,2910408,26234280981,2023-12-04,2023-10-03 09:33:08.838605,-46.25451246903623,-23.548228767656077
Maria,4488995,13573716926,2023-08-22,2023-10-03 09:33:08.838605,-46.21144489460026,-23.577132715688656
Pedro,3317079,19395236891,2023-01-05,2023-10-03 09:33:08.838605,-46.25902900383958,-23.54462997287361
Ana,7227835,40104766277,2023-08-06,2023-10-03 09:33:08.838605,-46.21100286031773,-23.52160752217291
Lucas,4882090,63954058800,2023-04-28,2023-10-03 09:33:08.838605,-46.2146542687082,-23.567612410278414
Carla,2594815,16169012632,2023-07-24,2023-10-03 09:33:08.838605,-46.29980001335828,-23.535673820048093
Marcos,2966827,80870846117,2023-02-25,2023-10-03 09:33:08.838605,-46.2804812312236,-23.5278382083064
Laura,2749171,92564406028,2023-08-10,2023-10-03 09:33:08.838605,-46.24520530429219,-23.557382020471966
Rafael,4987361,38151798376,2023-02-24,2023-10-03 09:33:08.838605,-46.2557420970389,-23.569113785269884
Julia,4141515,65861564025,2023-02-03,2023-10-03 09:33:08.838605,-46.26587170088871,-23.502175693178355
