Nome,RG,CPF,Data_Admissao,Data_Alteracao,Coordenada_X,Coordenada_Y
João,9832610,53140301847,2023-05-16,2023-10-03 09:31:59.323656,-46.20329973559162,-23.59574331879165
Maria,1074310,73009192049,2023-04-12,2023-10-03 09:31:59.323656,-46.235124056710504,-23.56891647360293
Pedro,4176044,61292449389,2023-11-16,2023-10-03 09:31:59.323656,-46.28734129847072,-23.503862462080978
Ana,4938511,85078889053,2023-10-16,2023-10-03 09:31:59.323656,-46.25612371256417,-23.545668047186595
Lucas,4657217,35454867500,2023-12-12,2023-10-03 09:31:59.323656,-46.205293414625686,-23.599249055310505
Carla,6244121,47113846188,2023-06-12,2023-10-03 09:31:59.323656,-46.200235872649124,-23.561382360982464
Marcos,8153720,68898401222,2023-11-02,2023-10-03 09:31:59.323656,-46.24387362012683,-23.55541310833124
Laura,4451158,41649234149,2023-11-01,2023-10-03 09:31:59.323656,-46.251540016398664,-23.56463697763989
Rafael,1083180,90188233676,2023-11-02,2023-10-03 09:31:59.323656,-46.23262913367742,-23.504722797050444
Julia,7690603,43332914455,2023-11-08,2023-10-03 09:31:59.323656,-46.26941679707878,-23.576667304934098
