;Nome;RG;CPF;Data_Contrato;Data_Alteracao;Coordenada_X;Coordenada_Y
1;Jaqueline;2910408;26234280981;04/12/2023;2023-10-03 09:33:08.838605;-2.356.149.777.192.690;-4.637.845.376.971.240
2;beatriz ;4488995;13573716926;22/08/2023;2023-10-03 09:33:08.838605;-23.541.135.959.247.400;-46.456.881.383.100.500
3;paul;3317079;19395236891;05/01/2023;2023-10-03 09:33:08.838605;-2.352.240.533.485.770;-4.634.321.618.559.550
4;Janaina ;7227835;40104766277;06/08/2023;2023-10-03 09:33:08.838605;-23.547.197.441.076.600;-46.216.380.104.095.300
5;Rita ;4882090;63954058800;28/04/2023;2023-10-03 09:33:08.838605;-2.355.066.547.461.630;-46.199.413.506.814.600
6;Roberto;2594815;16169012632;24/07/2023;2023-10-03 09:33:08.838605;-2.350.319.579.417.060;-46.510.557.283.784.900
7;Carlos ;2966827;80870846117;25/02/2023;2023-10-03 09:33:08.838605;-2.353.588.668.505.950;-46.526.492.127.766.200
8;Samuel ;2749171;92564406028;10/08/2023;2023-10-03 09:33:08.838605;-23.493.695.453.647.600;-466.259.532.129.608
9;Alice ;4987361;38151798376;24/02/2023;2023-10-03 09:33:08.838605;-2.358.767.596.130.320;-4.668.295.639.812.720
10;Elizabeth;4141515;65861564025;03/02/2023;2023-10-03 09:33:08.838605;-23.701.474.538.767.300;-4.654.779.487.543.030
;;;;;;;
